,id,text
83,1539484532977635330,Wadres. #walkoff https://t.co/uiBf2bYxdQ
84,1539477514392948737,"Stop and stare, Shohei!

(MLB x @HankookTireUSA) https://t.co/8cPR2w02WB"
85,1539474806810222592,SHOHEI TIES IT IN THE 9TH!!! https://t.co/bfJtuw8RAT
86,1539472586937143297,"Have a night, @BwittJr!

This is his first multi-HR game. https://t.co/YZk5RAkWXl"
87,1539470287959359488,"In a rollercoaster of a game, the @WhiteSox come out on top in extras. #walkoff https://t.co/S9fLTOl4Ac"
88,1539466011107282945,"Baseball is just the best, example 3,574,196: https://t.co/1wKyKWQNWm"
89,1539460234816770049,"The rookie is a veteran at bat flipping.

(MLB x @SportClips) https://t.co/vVlj8hnvII"
90,1539457447563231232,The @Mariners go 🔙 to 🔙 to 🔙! https://t.co/vuA1YMEzXN
91,1539455022534123521,"16-4 over their last 20 games, yeah the @CleGuardians are pretty good. https://t.co/fduIJdBIGF"
92,1539452314104303617,That HR was 111.5 MPH!
93,1539452081924349953,Holy Shohei. 😱 https://t.co/bwAEYNZpl1
94,1539450337471373312,"RT @whitesox: NOT DONE YET!

#ChangeTheGame | @NBCSChicago https://t.co/eIc9TykFB5"
95,1539445970605309952,"4 8 15 16 23 42

https://t.co/Ewo3pRgGoO https://t.co/56QtYKJQrd"
96,1539442653405843456,That's some Siri-ous pop. 😳 https://t.co/2o27oLVh8j
97,1539441751659794432,RT @BlueJays: UPDATE: OF George Springer was removed from tonight's game with right elbow discomfort.
98,1539441484377866240,Opening the hatch on Lost like https://t.co/sacOhiW0U7
99,1539438552215339008,"Nolan Gorman has his first career multi-HR game!

(MLB x @loanDepot) https://t.co/ULXQ57O9tZ"
